id,公司名稱,縣市,行政區,里別,行政區平日夜間停留人數,行政區平日日間活動人數,行政區假日夜間停留人數,行政區假日日間活動人數,里人均收入中位數,里人口數,發票張數指標,發票銷售額指標,500公尺內的熱鬧據點數,最近的熱鬧據點類型,最近的熱鬧據點距離,500公尺內部競爭(同公司店數),500公尺外部競爭(不同公司店數),租金,競爭壓力指標,生存難度,競爭優勢,是否便利商店,people_per_store,day_night_flow,登記現況,日夜人流差,租金_log
5937,統一超商股份有限公司,臺北市,內湖區,內湖里,268313,365903,262226,278057,682,6296,96.0,96.0,3.0,捷運站,137.8723011246946,13.0,22.0,30035.0,0.003493727171669,660770.0,0.5652173913043478,1,174.88888888888889,1.3637119196165686,營運中,97590,10.310151941219775
1681,統一超商股份有限公司,新北市,永和區,福林里,225926,165003,225638,209626,509,3274,60.0,63.0,3.0,學校,186.7386721977603,8.0,18.0,30718.0,0.0054961832061068,552924.0,0.4210526315789473,1,121.25925925925924,0.7303376754438381,營運中,-60923,10.332636634648445
5414,統一超商股份有限公司,臺北市,中山區,中央里,293366,427268,286848,317251,700,3671,91.0,94.0,5.0,學校,66.20892817152688,26.0,32.0,83176.0,0.008714596949891,2661632.0,0.7878787878787878,1,62.22033898305085,1.4564282962978112,營運中,133902,11.328726146284389
536,全家便利商店股份有限公司,新北市,三重區,成功里,425020,346194,423029,390770,677,8162,55.5,58.0,1.0,學校,448.3460975321372,5.0,23.0,28200.0,0.002817591571726,648600.0,0.2083333333333333,1,281.4482758620689,0.8145338700911249,營運中,-78826,10.247112717290387
5804,統一生活事業股份有限公司,臺北市,中正區,光復里,179530,309701,171990,217630,727,3950,96.0,98.0,2.0,學校,387.5224715160451,8.0,76.0,77082.0,0.0192356365477094,5858232.0,0.1038961038961039,0,46.47058823529412,1.7250558399385063,廢止,130171,11.252638042372888
1219,全家便利商店股份有限公司,新北市,中和區,新南里,461867,397325,460394,432783,648,8060,81.0,86.0,2.0,捷運站,460.9219867322542,9.0,35.0,18789.0,0.0043418930653765,657615.0,0.25,1,179.11111111111111,0.8602566101137121,營運中,-64542,9.84108009240751
4944,來來超商股份有限公司,臺北市,大安區,黎和里,293863,421212,288073,332468,699,4646,39.0,46.0,1.0,捷運站,179.06950746073576,5.0,28.0,33631.0,0.0060253927264902,941668.0,0.1724137931034483,1,136.64705882352942,1.4333569270138566,廢止,127349,10.423233273676678
2262,來來超商股份有限公司,新北市,板橋區,海山里,571963,464101,570948,541426,628,7878,69.5,84.5,3.0,學校,219.29254181429312,1.0,33.0,26425.0,0.0041883487752252,872025.0,0.0294117647058823,1,225.0857142857143,0.8114164527837416,廢止,-107862,10.182103652974162
960,全家便利商店股份有限公司,新北市,中和區,中原里,461867,397325,460394,432783,794,10414,96.5,97.5,1.0,醫院,394.2203425107525,4.0,20.0,66855.0,0.0019203072491598,1337100.0,0.1904761904761904,1,416.56,0.8602566101137121,營運中,-64542,11.110296331681273
1782,統一超商股份有限公司,新北市,汐止區,橋東里,246217,216959,245608,227518,614,4073,80.0,84.0,1.0,學校,430.4758584217962,7.0,16.0,21100.0,0.0039273441335297,337600.0,0.4117647058823529,1,169.70833333333334,0.881166283537353,廢止,-29258,9.957075711706057
390,統一超商股份有限公司,新北市,三重區,培德里,425020,346194,423029,390770,511,3671,46.0,57.0,3.0,學校,353.50358582692274,11.0,20.0,22024.0,0.0054466230936819,440480.0,0.5238095238095238,1,114.71875,0.8145338700911249,營運中,-78826,9.999933450804381
358,統一超商股份有限公司,新北市,三重區,福德里,425020,346194,423029,390770,511,4439,49.5,60.0,0.0,學校,543.7437043320026,7.0,22.0,18455.0,0.0049549549549549,406010.0,0.3043478260869565,1,147.96666666666667,0.8145338700911249,營運中,-78826,9.823144799853589
1998,統一超商股份有限公司,新北市,板橋區,福丘里,571963,464101,570948,541426,996,5222,99.0,99.0,4.0,捷運站,228.35204337702183,14.0,24.0,38048.0,0.0045950603101665,913152.0,0.56,1,133.89743589743588,0.8114164527837416,營運中,-107862,10.54663008173554
12,全家便利商店股份有限公司,新北市,八里區,頂罟里,47692,45981,47577,46026,449,2765,47.0,53.0,1.0,學校,239.1372598263288,1.0,7.0,22561.0,0.0025307302964569,157927.0,0.125,1,307.22222222222223,0.9641037468810936,營運中,-1711,10.024022354164865
2907,來來超商股份有限公司,新北市,淡水區,竿蓁里,235495,196325,234249,221071,636,12965,44.5,53.0,0.0,捷運站,691.2084474127089,0.0,12.0,18744.0,0.0009254974548819,224928.0,0.0,1,997.3076923076924,0.8336659646023712,廢止,-39170,9.838682329170013
